us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR
19782556,3055,2677.8,1.1409,1085.3,-0.079,0.527,,0.0001762199225,0.0002851558745,,,,,,0.0004805843906,0.000000001338111448,5732.8
19813767,3060.5,2686.7,1.1391,1088.1,-0.057,0.714,,0.0001665278934,0.0002209697047,,,,,,0.000461375797,-0.0000000006154233508,5747.2
19844993,3065.7,2693.6,1.1381,1091.6,-0.031,0.837,,0.0001536245799,0.0001440230437,,,,,,0.0003874975982,-0.000000002367056449,5759.3
19876238,3070.5,2698.1,1.138,1093.9,-0.004,0.874,,0.0001473178543,0.00008326661329,,,,,,0.0002976476236,-0.000000002877409035,5768.6
19907463,3075.1,2700.7,1.1386,1094,0.019,0.735,,0.0001505831091,0.00005446623094,,,,,,0.0002305844676,-0.000000002146364412,5775.8
19938675,3079.8,2702.4,1.1397,1092,0.033,0.45,,0.0001666025887,0.00005767012687,,,,,,0.00020504934,-0.0000000008177783051,5782.2
19969887,3085,2704.2,1.1408,1089.5,0.037,0.112,,0.0001631582315,0.00007678034423,,,,,,0.0002242727156,0.0000000006158969507,5789.2
20001145,3090.1,2706.6,1.1417,1088.2,0.028,-0.287,,0.0001410301612,0.0001121830828,,,,,,0.0002399385757,0.0000000005019178554,5796.7
20032344,3094.5,2710.1,1.1419,1089.1,0.006,-0.71,,0.0001056845476,0.0001473178543,,,,,,0.000253213244,0.000000000424680667,5804.6
20063569,3097.8,2714.7,1.1411,1092,-0.023,-0.916,,0.00007372267453,0.0001666773511,,,,,,0.0002530024019,0,5812.5
20094767,3100.1,2719.9,1.1398,1095.3,-0.044,-0.665,,0.00003842951387,0.000144110677,,,,,,0.0002404000256,-0.0000000004035989201,5820
20125993,3101.3,2724.4,1.1384,1097,-0.046,-0.067,,0,0.00007361177788,,,,,,0.0001825401909,-0.000000001854600769,5825.7
20157238,3101.3,2726.7,1.1374,1096.2,-0.031,0.46,,-0.00007048571062,-0.00003524285531,,,,,,0.00007361177788,-0.000000003488388298,5828
20188450,3099.1,2725.6,1.137,1093.2,-0.011,0.645,,-0.0001601947969,-0.0001569909009,,,,,,-0.0001057285659,-0.000000005739809372,5824.7
20219662,3094.1,2720.7,1.1373,1089.6,0.008,0.605,,-0.0002337870296,-0.0002722177742,,,,,,-0.0003171856978,-0.000000006774866458,5814.8
20250887,3086.8,2712.2,1.1381,1087.1,0.027,0.625,,-0.0002689204764,-0.0003585606352,,,,,,-0.0005060048038,-0.000000006049567667,5799
20282123,3078.4,2701,1.1397,1087,0.052,0.79,,-0.0002626437334,-0.0004227923513,,,,,,-0.0006274811115,-0.00000000389035413,5779.4
20313344,3070.2,2687.8,1.1423,1088.8,0.081,0.923,,-0.0002242727156,-0.0004453415353,,,,,,-0.0006854360847,-0.000000001855390356,5758
20344556,3063.2,2673.9,1.1456,1091.1,0.107,0.839,,-0.0001634039281,-0.0004325398097,,,,,,-0.0006696142509,0.0000000005067689618,5737.1
20375767,3058.1,2660.4,1.1495,1092.3,0.125,0.57,,-0.00007356468895,-0.0003710219095,,,,,,-0.0005959437378,0.000000002360326578,5718.5
20407032,3055.8,2648.8,1.1536,1091.5,0.132,0.249,,0.00003524963148,-0.000269179004,,,,,,-0.0004445865984,0.000000004849480611,5704.6
20438238,3056.9,2640.4,1.1577,1089,0.132,-0.024,,0.000131305044,-0.0001665332266,,,,,,-0.0002339293726,0.000000006737797085,5697.3
20469463,3061,2635.2,1.1616,1086.3,0.123,-0.293,,0.0001730824706,-0.00008974646623,,,,,,-0.00003522818255,0.000000006367403384,5696.2
20500662,3066.4,2632.4,1.1649,1085.1,0.105,-0.555,,0.0001345679408,-0.00005767197462,,,,,,0.00008333600436,0.000000003797091654,5698.8
20531873,3070.6,2630.6,1.1673,1085.9,0.077,-0.914,,0.00003197748785,-0.00005116398056,,,,,,0.00007689596617,-0.0000000002064180965,5701.2
20563145,3071.6,2629,1.1683,1088.3,0.034,-1.356,,-0.00008970908625,-0.00003203895937,,,,,,-0.00001918649271,-0.000000003078480628,5700.6
20594357,3068.8,2628,1.1677,1090.9,-0.019,-1.697,,-0.0001698881303,0.00001282174568,,,,,,-0.0001217480456,-0.000000003279660812,5696.8
20625554,3063.5,2628.4,1.1655,1091.9,-0.071,-1.677,,-0.000176208631,0.00009291000545,,,,,,-0.0001570663846,-0.000000001131562827,5691.9
20656767,3058,2631.3,1.1622,1090.7,-0.108,-1.198,,-0.0001216934606,0.0001761352719,,,,,,-0.00008329862557,0.000000002364578614,5689.3
20687993,3054.2,2636.8,1.1583,1088.1,-0.123,-0.474,,-0.00002879170799,0.0002399308999,,,,,,0.00005444181131,0.000000004412918876,5691
20719252,3053.3,2644.3,1.1547,1085.4,-0.117,0.21,,0.00005769600615,0.0002692480287,,,,,,0.0002111391919,0.000000005018170134,5697.6
20750450,3055.1,2652.7,1.1517,1084.4,-0.096,0.668,,0.0001184947958,0.0002658126501,,,,,,0.0003269440349,0.000000003704688025,5707.8
20781675,3058.8,2661,1.1495,1085.8,-0.07,0.829,,0.0001346240144,0.000237194692,,,,,,0.000384307446,0.000000001838688733,5719.8
20812873,3063,2668.4,1.1479,1088.9,-0.052,0.58,,0.00009913021233,0.0002046559222,,,,,,0.0003718187063,-0.0000000003999596359,5731.4
20844145,3066.1,2674.8,1.1463,1092.1,-0.051,0.037,,0.00004165064719,0.0001858259644,,,,,,0.0003037861346,-0.000000002180670933,5740.9
20875357,3067.4,2680.6,1.1443,1093.8,-0.065,-0.476,,-0.00001922337562,0.0001826220684,,,,,,0.0002274766116,-0.000000002440186845,5748
20906569,3066.8,2686.3,1.1417,1093.3,-0.084,-0.583,,-0.00004808000513,0.0001730880185,,,,,,0.0001633986928,-0.000000002052989836,5753.1
20937767,3065.3,2691.7,1.1388,1091.1,-0.091,-0.248,,-0.00004805843906,0.0001569909009,,,,,,0.0001250080133,-0.00000000122999742,5757
20968979,3063.8,2696.6,1.1362,1088.7,-0.083,0.257,,-0.00002239355066,0.0001311622253,,,,,,0.0001089324619,-0.0000000005152750644,5760.4
21000238,3063.1,2700.7,1.1342,1087.7,-0.065,0.587,,0.000003203895937,0.0001121363578,,,,,,0.0001087686746,0,5763.8
21031450,3063.2,2704.2,1.1327,1088.9,-0.046,0.615,,0.00002883506344,0.00009611687812,,,,,,0.0001153402537,0.0000000002102299858,5767.4
21062662,3064.1,2707.2,1.1318,1091.5,-0.03,0.5,,0.00006725380304,0.00009927942354,,,,,,0.0001249519416,0.0000000003079484753,5771.3
21093887,3066.2,2710.3,1.1313,1094.2,-0.015,0.489,,0.0001313892004,0.00009293382471,,,,,,0.0001665332266,0.000000001332221102,5776.5
21125092,3070.3,2713.2,1.1316,1095.1,0.008,0.745,,0.0002047017432,0.00007356468895,,,,,,0.0002243230252,0.000000001850754158,5783.5
21156357,3076.7,2715.5,1.133,1093.7,0.045,1.16,,0.0002531077791,0.000009611687812,,,,,,0.0002782664321,0.000000001728678319,5792.2
21187569,3084.6,2715.8,1.1358,1090.7,0.09,1.441,,0.0002436053593,-0.00009616001026,,,,,,0.0002627194669,-0.0000000004972642009,5800.4
21218767,3092.2,2712.8,1.1398,1087.7,0.13,1.285,,0.000156920515,-0.0002177672452,,,,,,0.0001474453491,-0.000000003693262777,5805
21249993,3097.1,2706,1.1445,1086.3,0.15,0.639,,0.00001600256041,-0.0003168506961,,,,,,-0.00006084673029,-0.000000006676456162,5803.1
21281238,3097.6,2696.1,1.1489,1087.2,0.141,-0.263,,-0.0001345636294,-0.0003684480328,,,,,,-0.0003008481357,-0.000000007685947781,5793.7
21312450,3093.4,2684.6,1.1523,1089.7,0.108,-1.068,,-0.0002401921537,-0.0003522818255,,,,,,-0.0005030116622,-0.00000000647026809,5778
