us,Red,IR,Ratio,Ambient,drdt,ddrdt,R+IR,dRed/dt (~7sec),dIR/dt,dRed/dIR,dRed*dIR/dt,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,,Notes
306628443,-77.9,-72.6,1.0729,3.6,3.43,32.259,-150.5,0.000009611687812,0.0002659233628,27.66666667,0.00007977700884,0.000000002555972345,-0.0000000005112428904,0.02149301551,0.0002755350506,0,-150.5,,
306659654,-77.1,-64.7,1.1925,2.8,3.832,12.868,-141.8,0.00002563198872,0.0002531158886,9.875,0.0002024927109,0.000000006487863603,0.00000000051327377,0.02137611739,0.0002787478774,0.0000000001029356251,-141.8,,
306690879,-74.6,-57.9,1.2892,0.7,3.097,-23.523,-132.5,0.00008006405124,0.0002177742194,2.72,0.0005444355484,0.00000001743588626,0.000000001744002516,0.02142610088,0.0002978382706,0.0000000006116559311,-132.5,,
306722085,-69.8,-52.8,1.3232,-1.3,1.089,-64.37,-122.6,0.0001538165737,0.0001634301096,1.0625,0.0007844645261,0.0000000251382595,0.000000002361970296,0.02031340127,0.0003172466833,0.00000000062156646,-122.6,,
306753350,-62.5,-48.9,1.2792,-1.8,-1.407,-79.83,-111.4,0.0002334879258,0.0001247401247,0.5342465753,0.0009106029106,0.00000002912531299,0.000000002553078,0.02012442028,0.0003582280505,0.000000001313252811,-111.4,,
306784552,-52.9,-44.7,1.1836,-0.2,-3.062,-53.038,-97.6,0.0003076725851,0.000134606756,0.4375,0.001292224857,0.00000004141480858,0.000000002372770168,0.0221658868,0.0004422793411,0.000000002688350889,-97.6,,
306815760,-41.4,-38.3,1.0795,2.9,-3.336,-8.767,-79.7,0.0003684952576,0.0002050756216,0.5565217391,0.002358369649,0.00000007556939403,0.000000001949319676,0.02496186875,0.0005735708793,0.000000004207792391,-79.7,,
306846985,-27.9,-28.2,0.9887,5.6,-2.907,13.737,-56.1,0.0004323458767,0.000323458767,0.7481481481,0.004366693355,0.0000001398460642,0.000000002045969594,0.02558334668,0.0007558046437,0.00000000583932852,-56.1,,
306878231,-12.8,-14.7,0.8731,6.5,-3.701,-25.425,-27.5,0.0004832618575,0.0004320553031,0.8940397351,0.006524035076,0.0000002087958483,0.000000001630615879,0.01915829226,0.0009153171606,0.00000000510848733,-27.5,,
306909443,3.2,0.5,2.04394,4.6,167.299,5478.667,3.7,0.00051262335,0.0004869921825,0.95,0.00779187492,0.000000249643564,0.0000000009396880393,0.006079712931,0.0009996155325,0.000000002697893231,3.7,,
306940668,18.8,15.2,1.2373,0.8,-155.564,-10339.887,34,0.0004995996797,0.0004707766213,0.9423076923,0.007344115292,0.0000002351998492,-0.000000000417264842,0.00910040032,0.000970376301,-0.0000000009367945485,34,,
306971919,32.2,27.8,1.1606,-2.8,-2.454,4899.357,60,0.0004287862788,0.000403187098,0.9402985075,0.005402707113,0.0000001728810954,-0.000000002267843103,0.01950017599,0.0008319733769,-0.000000004432439526,60,,
307003303,42.4,38.1,1.1118,-4.3,-1.556,28.631,80.5,0.0003250063727,0.0003281927097,1.009803922,0.003347565639,0.0000001066647221,-0.00000000332085073,0.02295054805,0.0006531990823,-0.000000005720594366,80.5,,
307034350,48.9,46.5,1.0501,-2.9,-1.987,-13.879,95.4,0.0002093600026,0.0002705575418,1.292307692,0.001758624022,0.00000005664392765,-0.000000003684883065,0.02120687989,0.0004799175444,-0.000000005521333736,95.4,,
307065548,52.1,53.1,0.9821,0.5,-2.182,-6.253,105.2,0.0001025706776,0.0002115520226,2.0625,0.0006769664722,0.0000000216990343,-0.000000003439602054,0.01579139688,0.0003141227002,-0.000000005340124463,105.2,,
307096774,52.4,56.7,0.9235,3.7,-1.876,9.782,109.1,0.000009607378467,0.0001152885416,12,0.00003458656248,0.000000001107620652,-0.000000002979783933,0.006551271376,0.0001248959201,-0.000000006065349705,109.1,,
307128038,49.6,55.9,0.8869,4.6,-1.171,22.57,105.5,-0.00008955987718,-0.00002558853634,0.2857142857,0.00007164790174,0.000000002291706171,-0.000000003175791188,-0.006347236438,-0.0001151484135,-0.000000007687322538,105.5,,
307159244,43.4,49.4,0.8801,2.5,-0.215,30.618,92.8,-0.0001986797411,-0.0002082932769,1.048387097,0.001291418317,0.00000004138365433,-0.000000003490272003,-0.02014612575,-0.000406973018,-0.00000000933420562,92.8,,
307190456,34.2,37.3,0.9153,-1.4,1.127,43.015,71.5,-0.0002947584262,-0.0003876714084,1.315217391,0.003566576958,0.0000001142694143,-0.00000000307885295,-0.02781942842,-0.0006824298347,-0.000000008827046615,71.5,,
307221668,22.7,21.4,1.0591,-4.7,4.605,111.421,44.1,-0.0003684480328,-0.0005094194541,1.382608696,0.005858323722,0.0000001876945957,-0.000000002360938311,-0.02530693323,-0.0008778674869,-0.000000006261618999,44.1,,
307252939,10.8,4,1.29568,-5.7,53.659,1568.67,14.8,-0.0003805442742,-0.0005564260817,1.462184874,0.006621470372,0.0000002117447594,-0.0000000003875509881,-0.01415304915,-0.0009369703559,-0.000000001893594421,14.8,,
307315350,-5.8,-27.1,0.82524,-0.9,8.81,3157.078,-32.9,-0.0002659787537,-0.0004983095929,1.873493976,0.008271939241,0.0000001325397645,0.000000003663634694,-0.003210651968,-0.0007642883466,0.000000005522113438,-32.9,,
307346601,-8.6,-37.8,0.86402,1.5,0.478,-266.611,-46.4,-0.00008959713289,-0.0003423890436,3.821428571,0.0009586893219,0.00000003067707664,0.000000002826130343,-0.005372628076,-0.0004319861764,0.000000005324416692,-46.4,,
307377813,-8.9,-44.1,0.88782,1.6,-0.796,-40.819,-53,-0.000009611687812,-0.0002018454441,21,0.00006055363322,0.000000001940075395,0.00000000255945234,-0.002159746251,-0.0002114571319,0.000000007056703612,-53,,
307409038,-8.9,-46.3,0.88588,-0.6,-0.309,15.603,-55.2,0,-0.00007045636509,#DIV/0!,0,0,0.0000000003079484753,-0.0006270616493,-0.00007045636509,0.000000004517517839,-55.2,,
307440282,-10.4,-45.5,0.89274,-3.8,1.096,44.963,-55.9,-0.00004800921777,0.00002560491614,-0.5333333333,-0.00003840737422,-0.000000001229271995,-0.000000001537524989,-0.001956535655,-0.00002240430163,0.000000001538897149,-55.9,,
307471495,-13.5,-43.3,0.9098,-5.9,2.733,52.439,-56.8,-0.00009931759203,0.00007048345241,-0.7096774194,-0.0002184987025,-0.000000007000246771,-0.000000001642183275,-0.00356742383,-0.00002883413962,-0.0000000002057943284,-56.8,,
307502699,-17.6,-40.9,0.93334,-5.7,3.772,33.291,-58.5,-0.0001313934111,0.00007691321625,-0.5853658537,-0.0003153441866,-0.00000001010588984,-0.00000000102764294,-0.004335662095,-0.00005448019485,-0.0000000008216465968,-58.5,,
307533932,-21.6,-39.1,0.95774,-3.3,3.906,4.308,-60.7,-0.0001280696699,0.00005763135146,-0.45,-0.0002305254058,-0.000000007380828157,0.0000000001065165107,-0.003993212307,-0.00007043831845,-0.0000000005114127547,-60.7,,
307565178,-25.3,-37.5,0.98232,0,3.935,0.909,-62.8,-0.0001184151571,0.00005120655444,-0.4324324324,-0.0001894642514,-0.00000000606363219,0.0000000003091125656,-0.003334506817,-0.0000672086027,0.0000000001034071573,-62.8,,
